ACCDDATE,ACCDYEAR,ACCDNMBR,ACCDTIME,DAYNMBR,Weekend,Fishnet_ID
11/21/2011,2011,111107921,38,MON,1,4835
3/27/2011,2011,110305092,130,SUN,1,4836
9/7/2013,2013,130901317,2002,SAT,1,4836
5/5/2013,2013,130500602,0,SUN,1,4837
5/21/2010,2010,100509685,2208,FRI,1,4838
10/16/2010,2010,101011134,311,SAT,1,4838
1/10/2014,2014,140105263,2157,FRI,1,4838
4/12/2013,2013,130403806,2015,FRI,1,4839
2/27/2011,2011,110207141,2210,SUN,1,4839
8/1/2010,2010,100808765,31,SUN,1,4839
11/24/2013,2013,131109689,248,SUN,1,4839
7/9/2013,2013,130704602,1847,TUE,0,4839
4/22/2011,2011,110407063,1951,FRI,1,4839
6/26/2010,2010,100609700,225,SAT,1,4839
2/5/2012,2012,120200606,1425,SUN,1,4840
8/21/2012,2012,120804487,30,TUE,0,4841
6/24/2014,2014,140608855,2344,TUE,0,4841
11/22/2010,2010,101105292,1850,MON,0,4841
11/5/2011,2011,111103546,600,SAT,1,4843
8/22/2010,2010,100803571,2257,SUN,1,4845
12/17/2011,2011,111204281,1716,SAT,1,4846
7/22/2014,2014,140707757,1450,TUE,0,4846
2/12/2014,2014,140203228,143,WED,0,4846
2/28/2010,2010,100208135,135,SUN,1,4846
4/29/2011,2011,110405272,2022,FRI,1,4846
5/21/2011,2011,110503935,252,SAT,1,4846
5/10/2010,2010,100506310,1355,MON,0,4846
12/1/2014,2014,141200647,1656,MON,0,4846
5/24/2014,2014,140505436,2330,SAT,1,4846
8/4/2013,2013,130800359,0,SUN,1,4846
12/4/2011,2011,111200447,142,SUN,1,4846
11/12/2012,2012,121103770,0,MON,1,4848
2/13/2011,2011,110202603,245,SUN,1,4849
10/29/2011,2011,111009617,1647,SAT,1,4850
12/15/2013,2013,131210841,1530,SUN,1,4851
5/8/2011,2011,110502271,1558,SUN,1,4851
11/12/2014,2014,141103986,2239,WED,0,4851
